id;nom;pays;nb_joueurs;classement
1;psitt peu bien que;gueuler;21021;6348
2;provoquer;sous couleur de jusque puisque;31192;3661
3;sauver;assez chez intrépide;13578;6320
4;regarder vraisemblablement avare;apte trancher;11732;8290
5;trop au-dessous de façon à;à côté de gémir;32423;3499
6;lorsque;de crainte que chef;32520;25675
7;bzzz altruiste ferme;rectangulaire trop;32633;21753
8;coac coac hier;espiègle sincère insipide;28505;19697
9;d’autant que;soutenir marron;3290;6683
10;mieux gens;grâce à bè;13020;9796
